transaction_id,customer_id,amount,currency,transaction_type,product_category,transaction_date
00000000-0000-0000-0000-0000000f4240,00000000-0000-0000-0000-000000001306,1543.39,GBP,refund,Storage,2022-01-04
00000000-0000-0000-0000-0000000f4241,00000000-0000-0000-0000-0000000012e6,2328.56,EUR,purchase,Cloud Platform,2023-09-10
00000000-0000-0000-0000-0000000f4242,00000000-0000-0000-0000-0000000010b0,2383.5,EUR,subscription,Security,2023-12-23
00000000-0000-0000-0000-0000000f4243,00000000-0000-0000-0000-0000000008c5,4205.96,AUD,subscription,Storage,2022-06-09
00000000-0000-0000-0000-0000000f4244,00000000-0000-0000-0000-000000000fe2,298.43,AUD,refund,API Services,2022-10-12
00000000-0000-0000-0000-0000000f4245,00000000-0000-0000-0000-0000000009cc,4547.98,CAD,purchase,Support,2023-01-28
00000000-0000-0000-0000-0000000f4246,00000000-0000-0000-0000-00000000085a,2405.29,AUD,refund,Storage,2023-08-05
00000000-0000-0000-0000-0000000f4247,00000000-0000-0000-0000-0000000003e2,1247.76,USD,purchase,Data Analytics,2023-01-17
00000000-0000-0000-0000-0000000f4248,00000000-0000-0000-0000-000000000412,4187.44,USD,subscription,Data Analytics,2022-12-26
00000000-0000-0000-0000-0000000f4249,00000000-0000-0000-0000-0000000012b8,1777.65,AUD,subscription,Data Analytics,2022-06-17
00000000-0000-0000-0000-0000000f424a,00000000-0000-0000-0000-000000000641,2128.79,AUD,subscription,Compute,2023-01-29
00000000-0000-0000-0000-0000000f424b,00000000-0000-0000-0000-000000000110,2541.57,AUD,purchase,API Services,2022-06-01
00000000-0000-0000-0000-0000000f424c,00000000-0000-0000-0000-000000000797,4693.78,USD,purchase,API Services,2023-11-04
00000000-0000-0000-0000-0000000f424d,00000000-0000-0000-0000-0000000012be,1644.06,EUR,purchase,Storage,2022-09-28
00000000-0000-0000-0000-0000000f424e,00000000-0000-0000-0000-00000000126a,3412.08,GBP,refund,ML Platform,2022-01-20
00000000-0000-0000-0000-0000000f424f,00000000-0000-0000-0000-0000000006b1,400.76,CAD,subscription,Data Analytics,2022-02-27
00000000-0000-0000-0000-0000000f4250,00000000-0000-0000-0000-0000000002c6,4969.08,EUR,purchase,Support,2023-04-27
00000000-0000-0000-0000-0000000f4251,00000000-0000-0000-0000-0000000001ba,4247.72,EUR,purchase,Data Analytics,2022-10-27
00000000-0000-0000-0000-0000000f4252,00000000-0000-0000-0000-000000000286,1387.72,EUR,refund,Storage,2023-03-25
00000000-0000-0000-0000-0000000f4253,00000000-0000-0000-0000-0000000008d3,3543.23,GBP,refund,Data Analytics,2023-03-29
00000000-0000-0000-0000-0000000f4254,00000000-0000-0000-0000-00000000076b,3788.62,EUR,purchase,Data Analytics,2023-02-21
00000000-0000-0000-0000-0000000f4255,00000000-0000-0000-0000-000000000ad7,3489.75,GBP,subscription,ML Platform,2023-02-06
00000000-0000-0000-0000-0000000f4256,00000000-0000-0000-0000-000000000bce,2244.12,USD,refund,Data Analytics,2023-03-07
00000000-0000-0000-0000-0000000f4257,00000000-0000-0000-0000-000000000c83,4658.53,GBP,refund,Data Analytics,2023-03-26
